GEO.id,GEO.id2,GEO.display-label,HD01_S001,HD02_S001,HD01_S026,HD02_S026,HD01_S051,HD02_S051,HD01_S076,HD02_S076,HD01_S077,HD02_S077,HD01_S078,HD02_S078
Id,Id2,Geography,Number; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Number; SEX AND AGE - Male population,Percent; SEX AND AGE - Male population,Number; SEX AND AGE - Female population,Percent; SEX AND AGE - Female population,Number; RACE - Total population,Percent; RACE - Total population,Number; RACE - Total population - One Race,Percent; RACE - Total population - One Race,Number; RACE - Total population - One Race - White,Percent; RACE - Total population - One Race - White
8600000US10550,10550,ZCTA5 10550,37144,100.0,16954,45.6,20190,54.4,37144,100.0,35656,96.0,5542,14.9
8600000US10552,10552,ZCTA5 10552,19786,100.0,8980,45.4,10806,54.6,19786,100.0,19070,96.4,10037,50.7
8600000US10553,10553,ZCTA5 10553,10170,100.0,4554,44.8,5616,55.2,10170,100.0,9868,97.0,628,6.2
8600000US10560,10560,ZCTA5 10560,4737,100.0,2303,48.6,2434,51.4,4737,100.0,4674,98.7,4481,94.6
8600000US10562,10562,ZCTA5 10562,31796,100.0,16436,51.7,15360,48.3,31796,100.0,30639,96.4,19429,61.1
8600000US10566,10566,ZCTA5 10566,23570,100.0,11517,48.9,12053,51.1,23570,100.0,22202,94.2,12095,51.3
8600000US10567,10567,ZCTA5 10567,19929,100.0,9844,49.4,10085,50.6,19929,100.0,19400,97.3,16421,82.4
8600000US10570,10570,ZCTA5 10570,12680,100.0,6155,48.5,6525,51.5,12680,100.0,12457,98.2,10962,86.5
8600000US10573,10573,ZCTA5 10573,38352,100.0,19599,51.1,18753,48.9,38352,100.0,36803,96.0,26034,67.9
8600000US10576,10576,ZCTA5 10576,5116,100.0,2524,49.3,2592,50.7,5116,100.0,5015,98.0,4792,93.7
8600000US10577,10577,ZCTA5 10577,6552,100.0,2877,43.9,3675,56.1,6552,100.0,6334,96.7,5077,77.5
8600000US10578,10578,ZCTA5 10578,681,100.0,328,48.2,353,51.8,681,100.0,672,98.7,629,92.4
8600000US10579,10579,ZCTA5 10579,8675,100.0,4366,50.3,4309,49.7,8675,100.0,8477,97.7,8021,92.5
8600000US10580,10580,ZCTA5 10580,17208,100.0,8270,48.1,8938,51.9,17208,100.0,16927,98.4,15486,90.0
8600000US10583,10583,ZCTA5 10583,38982,100.0,18773,48.2,20209,51.8,38982,100.0,38224,98.1,31707,81.3
8600000US10588,10588,ZCTA5 10588,2282,100.0,1086,47.6,1196,52.4,2282,100.0,2227,97.6,1999,87.6
8600000US10589,10589,ZCTA5 10589,8475,100.0,3789,44.7,4686,55.3,8475,100.0,8401,99.1,7847,92.6
8600000US10590,10590,ZCTA5 10590,6767,100.0,3352,49.5,3415,50.5,6767,100.0,6633,98.0,6352,93.9
8600000US10591,10591,ZCTA5 10591,22540,100.0,10698,47.5,11842,52.5,22540,100.0,21669,96.1,15557,69.0
8600000US10594,10594,ZCTA5 10594,5117,100.0,2566,50.1,2551,49.9,5117,100.0,5047,98.6,4460,87.2
8600000US10595,10595,ZCTA5 10595,8195,100.0,4572,55.8,3623,44.2,8195,100.0,8036,98.1,6214,75.8
8600000US10596,10596,ZCTA5 10596,1729,100.0,829,47.9,900,52.1,1729,100.0,1685,97.5,1545,89.4
8600000US10597,10597,ZCTA5 10597,968,100.0,485,50.1,483,49.9,968,100.0,965,99.7,943,97.4
8600000US10598,10598,ZCTA5 10598,28647,100.0,13868,48.4,14779,51.6,28647,100.0,28175,98.4,25645,89.5
8600000US10601,10601,ZCTA5 10601,11376,100.0,5320,46.8,6056,53.2,11376,100.0,10844,95.3,6205,54.5
8600000US10603,10603,ZCTA5 10603,17045,100.0,7891,46.3,9154,53.7,17045,100.0,16397,96.2,8981,52.7
8600000US10604,10604,ZCTA5 10604,11250,100.0,5391,47.9,5859,52.1,11250,100.0,10924,97.1,8678,77.1
8600000US10605,10605,ZCTA5 10605,18126,100.0,8647,47.7,9479,52.3,18126,100.0,17632,97.3,14291,78.8
8600000US10606,10606,ZCTA5 10606,16499,100.0,8274,50.1,8225,49.9,16499,100.0,15687,95.1,9065,54.9
8600000US10607,10607,ZCTA5 10607,6824,100.0,3364,49.3,3460,50.7,6824,100.0,6561,96.1,3105,45.5
8600000US10701,10701,ZCTA5 10701,63393,100.0,30471,48.1,32922,51.9,63393,100.0,60415,95.3,26651,42.0
8600000US10703,10703,ZCTA5 10703,20301,100.0,9577,47.2,10724,52.8,20301,100.0,19510,96.1,11487,56.6
8600000US10704,10704,ZCTA5 10704,30165,100.0,14438,47.9,15727,52.1,30165,100.0,29398,97.5,22738,75.4
8600000US10705,10705,ZCTA5 10705,38777,100.0,18546,47.8,20231,52.2,38777,100.0,36476,94.1,17032,43.9
8600000US10706,10706,ZCTA5 10706,8679,100.0,4079,47.0,4600,53.0,8679,100.0,8449,97.3,7335,84.5
8600000US10707,10707,ZCTA5 10707,10097,100.0,4789,47.4,5308,52.6,10097,100.0,9858,97.6,8163,80.8
8600000US10708,10708,ZCTA5 10708,21225,100.0,9482,44.7,11743,55.3,21225,100.0,20781,97.9,18248,86.0
8600000US10709,10709,ZCTA5 10709,9292,100.0,4432,47.7,4860,52.3,9292,100.0,9197,99.0,8333,89.7
8600000US10710,10710,ZCTA5 10710,25120,100.0,11717,46.6,13403,53.4,25120,100.0,24280,96.7,16133,64.2
8600000US10801,10801,ZCTA5 10801,40827,100.0,19901,48.7,20926,51.3,40827,100.0,39226,96.1,22750,55.7
8600000US10803,10803,ZCTA5 10803,12435,100.0,6099,49.0,6336,51.0,12435,100.0,12057,97.0,10265,82.5
8600000US10804,10804,ZCTA5 10804,14146,100.0,6849,48.4,7297,51.6,14146,100.0,13886,98.2,12051,85.2
8600000US10805,10805,ZCTA5 10805,18414,100.0,8446,45.9,9968,54.1,18414,100.0,17758,96.4,12195,66.2
8600000US10901,10901,ZCTA5 10901,23465,100.0,11246,47.9,12219,52.1,23465,100.0,23001,98.0,19660,83.8
8600000US10910,10910,ZCTA5 10910,21,100.0,12,57.1,9,42.9,21,100.0,21,100.0,16,76.2
8600000US10911,10911,ZCTA5 10911,2,100.0,1,50.0,1,50.0,2,100.0,2,100.0,2,100.0
8600000US10913,10913,ZCTA5 10913,5532,100.0,2684,48.5,2848,51.5,5532,100.0,5414,97.9,4715,85.2
8600000US10914,10914,ZCTA5 10914,414,100.0,207,50.0,207,50.0,414,100.0,405,97.8,339,81.9
8600000US10915,10915,ZCTA5 10915,119,100.0,66,55.5,53,44.5,119,100.0,116,97.5,106,89.1
8600000US10916,10916,ZCTA5 10916,4540,100.0,2245,49.4,2295,50.6,4540,100.0,4456,98.1,4105,90.4
8600000US10917,10917,ZCTA5 10917,1968,100.0,996,50.6,972,49.4,1968,100.0,1928,98.0,1590,80.8
8600000US10918,10918,ZCTA5 10918,11647,100.0,5724,49.1,5923,50.9,11647,100.0,11315,97.1,9527,81.8
8600000US10919,10919,ZCTA5 10919,1040,100.0,528,50.8,512,49.2,1040,100.0,1013,97.4,891,85.7
8600000US10920,10920,ZCTA5 10920,8554,100.0,4154,48.6,4400,51.4,8554,100.0,8346,97.6,6759,79.0
8600000US10921,10921,ZCTA5 10921,4135,100.0,2010,48.6,2125,51.4,4135,100.0,4036,97.6,3576,86.5
8600000US10922,10922,ZCTA5 10922,1559,100.0,793,50.9,766,49.1,1559,100.0,1506,96.6,1354,86.9
8600000US10923,10923,ZCTA5 10923,8732,100.0,4236,48.5,4496,51.5,8732,100.0,8411,96.3,5685,65.1
8600000US10924,10924,ZCTA5 10924,13120,100.0,6529,49.8,6591,50.2,13120,100.0,12831,97.8,10954,83.5
8600000US10925,10925,ZCTA5 10925,4539,100.0,2264,49.9,2275,50.1,4539,100.0,4446,98.0,4105,90.4
8600000US10926,10926,ZCTA5 10926,3203,100.0,1578,49.3,1625,50.7,3203,100.0,3099,96.8,2299,71.8
8600000US10927,10927,ZCTA5 10927,11910,100.0,5782,48.5,6128,51.5,11910,100.0,11070,92.9,5708,47.9
8600000US10928,10928,ZCTA5 10928,4175,100.0,2064,49.4,2111,50.6,4175,100.0,3993,95.6,2982,71.4
8600000US10930,10930,ZCTA5 10930,8958,100.0,4435,49.5,4523,50.5,8958,100.0,8698,97.1,7286,81.3
8600000US10931,10931,ZCTA5 10931,1023,100.0,535,52.3,488,47.7,1023,100.0,905,88.5,553,54.1
8600000US10932,10932,ZCTA5 10932,60,100.0,25,41.7,35,58.3,60,100.0,60,100.0,60,100.0
8600000US10933,10933,ZCTA5 10933,473,100.0,235,49.7,238,50.3,473,100.0,469,99.2,440,93.0
8600000US10940,10940,ZCTA5 10940,48418,100.0,23553,48.6,24865,51.4,48418,100.0,46234,95.5,29737,61.4
